"","X.1","X","cycle","election","bonica.rid","Cand.ID","Name","Party","State","seat","District","cfscore","male.winner","female.margin","female.pctile","prev.elect","democrat","total.votes","professional","pct.female.chamber","gop.gov","house","state.pres.dem","num.cands","won.again","pct.dem.last","female.cand.last","total.dist.last","female.inc","total.raised.candidate","log.total.raised.candidate","individual.money","log.individual.money","pac.money","log.pac.money","party.money","log.party.money","male.money","log.male.money","female.money","log.female.money","share.district.total","district.total","log.district.total","log.total.dist.last"
"33",33,47163,1994,"AK1994","cand3997","AK16724","MASEK, BEVERLY L",200,"AK","state:lower","AK-28",0.28693495227109,0,63.5176310911032,63.5,NA,1,6.397,0.232,0.238095238,0,1,0.3029,3,1,47.5206604003906,0,67076,0,59373,10.9915948565591,9087,9.11471014096093,36050,10.4926898815794,5500,8.61268517287546,7886.55,8.97304084597359,150,5.01727983681492,0.555817676299604,106821,11.5789098153927,11.113581583867
"34",34,102577,2006,"AK2006","cand4147","AK8804","JOHNSON, CRAIG W",200,"AK","state:lower","AK-28",0.358663048304835,1,48.4839515686035,48.5,0,1,6.761,0.232,0.194805195,1,1,0.3552,2,1,30.8113498687744,0,113335,0,65980,11.0971069447826,31065,10.3438692525479,20800,9.94275634145683,7300,8.89576660405609,31440,10.3558680526531,5575,8.62622695244036,0.36231446347477,182107,12.1123497053942,11.6381033136985
"35",35,123609,2008,"AK2008","cand4147","AK8804","JOHNSON, CRAIG W",200,"AK","state:lower","AK-28",0.358663048304835,1,44.3789596557617,44.4,NA,1,8.993,0.232,0.256097561,1,1,0.3789,2,1,48.4839515686035,1,145222,0,47030,10.7585409749391,34240,10.4411790354367,11750,9.37169362233394,0,0,28565,10.2599724784226,6615,8.79724623670353,0.607976213560856,77355,11.2561604951532,11.8860188850471
"36",36,45433,1992,"AK1992","cand3363","AK13155","DAVIES, JOHN N",100,"AK","state:lower","AK-29",-0.732965343936196,1,39.3654344452021,39.4,NA,0,6.773,0.232,0.24,0,1,0.3029,2,1,NA,NA,NA,0,58292,10.9732201416536,4853,8.48755838628655,18699,9.83627880284268,3500,8.16080392095467,13173.38,9.48602931347873,1753,7.46965417293213,0.628600390368046,92733,11.4374796752606,NA
"37",37,47113,1994,"AK1994","cand3363","AK13155","DAVIES, JOHN N",100,"AK","state:lower","AK-29",-0.732965343936196,1,40.1321220397949,40.1,NA,0,6.055,0.232,0.238095238,0,1,0.3029,2,1,56.1494178771973,1,62743,0,47051,10.7589873987728,5191,8.55487425838393,21420,9.97212702825282,588,6.37842618365159,4370.96,8.38296670012374,1170,7.06561336359772,0.510076645382305,92243,11.4321816782649,11.0468022969866
"38",38,49209,1996,"AK1996","cand3363","AK13155","DAVIES, JOHN N",100,"AK","state:lower","AK-29",-0.732965343936196,1,46.3295516967773,46.3,NA,0,6.961,0.232,0.257731959,0,1,0.3327,2,1,59.8678779602051,1,92733,0,35799,10.4856752390378,6601,8.79512791241314,9615,9.17118365677499,46,3.85014760171006,5192.85,8.55523051232936,1425,7.26262860097424,0.551203288835512,64947,11.0813268316555,11.4374796752606
"39",39,55269,1998,"AK1998","cand3363","AK13155","DAVIES, JOHN",100,"AK","state:lower","AK-29",-0.732965343936196,1,41.5814386168675,41.6,NA,0,6.775,0.232,0.328947368,0,1,0.3327,2,1,53.6704483032227,1,92243,0,73360,11.2031341069303,28078,10.24277724497,19070,9.85592413560452,250,5.52545293913178,19746.56,9.89078521839324,8826.99,9.08568263461658,1,73360,11.2031341069303,11.4321816782649
"40",40,77030,2002,"AK2002","cand4084","AK3178","KERTTULA, ELIZABETH",100,"AK","state:lower","AK-3",-0.722490496536293,0,65.1590196482276,65.2,NA,0,7.695,0.232,0.180722892,0,1,0.2767,2,1,64.8684768676758,1,101301,1,70615,11.1649978655032,51197,10.8434557477646,17950,9.79540110267107,500,6.21660610108486,30840.5,10.3366164646268,21114.76,9.95777496008994,0.79815310885807,88473,11.3904526997024,11.5258515618564
"41",41,89718,2004,"AK2004","cand4084","AK3178","KERTTULA, BETH",100,"AK","state:lower","AK-3",-0.722490496536293,0,71.2593814369438,71.3,NA,0,8.528,0.232,0.207317073,1,1,0.3552,2,1,64.9642639160156,1,61821,1,30580,10.3281014794831,22074,10.0022010254722,8606,9.06033110464947,0,0,13987,9.54595509818327,8217,9.01408214944336,1,30580,10.3281014794831,11.0319983915501
"42",42,55329,1998,"AK1998","cand3885","AK138911","WHITAKER, JIM",200,"AK","state:lower","AK-31",0.35206062269734,1,43.734806060791,43.7,NA,1,4.525,0.232,0.328947368,0,1,0.3327,2,1,33.2378234863281,0,47830,0,34966,10.4621314397576,10150,9.22532750178443,7953,8.98143022576764,3500,8.16080392095467,16103.5,9.68685401502443,1950,7.57609734062311,1,34966,10.4621314397576,10.7754083366743
"43",43,47205,1994,"AK1994","cand4050","AK20300","VEZEY, ALLEN",200,"AK","state:lower","AK-32",0.384851854928173,1,43.5255355834961,43.5,NA,1,3.035,0.232,0.238095238,0,1,0.3029,2,1,37.2739906311035,0,113573,0,60742,11.0143906652885,22604,10.0259263997287,47800,10.7748018387628,7225,8.88544091170758,-9183,0,1850,7.5234813125735,0.418200845462181,145246,11.8861841356086,11.6402010809634
"44",44,55261,1998,"AK1998","cand4085","AK3179","COGHILL, JOHN",200,"AK","state:lower","AK-32",0.604487202461824,1,41.3724937438965,41.4,NA,1,3.541,0.232,0.328947368,0,1,0.3327,2,1,47.7022514343262,1,145246,0,23476,10.0637339016782,15711,9.66218003059425,3200,8.07121853996986,2500,7.82444593087762,11691,9.36666012623114,4020,8.29928590689727,0.490585752199444,47853,10.7758890908406,11.8861841356086
"45",45,77017,2002,"AK2002","cand4111","AK4152","HAWKER, MIKE",200,"AK","state:lower","AK-32",0.241867408964434,1,49.767563018628,49.8,0,1,7.764,0.232,0.180722892,0,1,0.2767,2,1,31.5428104400635,1,47853,0,89404,11.40092070289,71720,11.180538870734,15963,9.67809146616862,500,6.21660610108486,58135.8,10.9705541330385,14390,9.57435829017017,0.474558637748548,188394,12.1462907934835,10.7758890908406
"46",46,47200,1994,"AK1994","cand4073","AK2259","THERRIAULT, GENE",200,"AK","state:lower","AK-33",0.286631480593101,1,35.8515200168871,35.9,NA,1,5.886,0.232,0.238095238,0,1,0.3029,2,1,37.4637145996094,0,63021,0,46074,10.7380040785586,5215,8.55948610360649,37100,10.5213992024102,2225,7.70796153183549,-1668,0,0,0,0.424629506746295,108504,11.5945423176426,11.0512232831638
"47",47,89800,2004,"AK2004","cand4117","AK4158","SEATON, PAUL K",200,"AK","state:lower","AK-35",0.179312348519494,1,39.154466745911,39.2,NA,1,8.447,0.232,0.207317073,1,1,0.3552,3,1,0,0,43263,0,38610,10.5612665892583,29810,10.3026327318995,8300,9.02413126845503,500,6.21660610108486,22754.88,10.0325788525221,7050,8.86092472971904,1,38610,10.5612665892583,10.6750530452302
"48",48,45406,1992,"AK1992","cand4006","AK17597","NICHOLIA, IRENE K",100,"AK","state:lower","AK-36",-0.511674799945388,0,57.8020133972168,57.8,NA,0,4.768,0.232,0.24,0,1,0.3029,2,1,NA,NA,NA,0,16761,9.72681003812726,1450,7.28000825288419,11945,9.38815177329225,500,6.21660610108486,1150,7.04838640872188,500,6.21660610108486,0.640686518099461,26161,10.1720250311402,NA
"49",49,47178,1994,"AK1994","cand4006","AK17597","NICHOLIA, IRENE K",100,"AK","state:lower","AK-36",-0.511674799945388,0,62.8980903625488,62.9,NA,0,4.396,0.232,0.238095238,0,1,0.3029,2,1,57.8020133972168,1,23471,1,21339,9.96829166340162,850,6.74641212857337,18107,9.80410910855585,1500,7.31388683163346,957,6.86484777797086,150,5.01727983681492,1,21339,9.96829166340162,10.0635208955215
"50",50,55308,1998,"AK1998","cand4002","AK17341","MORGAN, CARL",200,"AK","state:lower","AK-36",0.34708229300807,0,50,50,NA,1,4.638,0.232,0.328947368,0,1,0.3327,2,1,52.1172637939453,1,21339,1,38959,10.5702650900759,14832,9.60460970732361,6725,8.81373589230022,11622,9.36074117264371,11674.53,9.36525047765234,3307.17,8.10415044539145,0.644813717539185,60419,11.0090589039927,9.96829166340162
"51",51,47189,1994,"AK1994","cand4020","AK18637","ROBINSON, CAREN W",100,"AK","state:lower","AK-4",-0.876865444383914,0,52.4075546264648,52.4,1,0,7.518,0.232,0.238095238,0,1,0.3029,2,0,26.6322498321533,0,70971,0,107630,11.5864546982583,26435,10.1824819965903,19470,9.87668145811562,28900,10.271631475578,16825,9.73068058811076,9980,9.20843856468659,0.553316402595133,194518,12.1782799827458,11.1700266218805
"52",52,49230,1996,"AK1996","cand3972","AK15230","HUDSON, BILL",200,"AK","state:lower","AK-4",0.270106699342207,1,47.6864852905273,47.7,1,1,7.132,0.232,0.257731959,0,1,0.3327,2,1,52.4075546264648,1,136945,1,64211,11.069929814565,24466,10.1050805498199,6475,8.77585831479753,8514,9.04958459309679,27780.13,10.2321122922269,6861,8.8337542234184,1,64211,11.069929814565,11.8273346643497
"53",53,102569,2006,"AK2006","cand4140","AK8432","DOLL, ANDREA",100,"AK","state:lower","AK-4",-1.24212784066781,0,50.5457344055176,50.5,0,0,6.505,0.232,0.194805195,1,1,0.3552,2,0,34.783130645752,0,146819,0,72070,11.1853931479185,44940,10.7131057973832,16180,9.69159299339981,7003,8.85423669340574,21516.04,9.97660045834694,25936.62,10.1634497034684,0.513373935961819,140385,11.8521439272595,11.8969558145804
"54",54,45514,1992,"AK1992","cand4014","AK18119","PHILLIPS, GAIL",200,"AK","state:lower","AK-7",0.248154669679859,0,86.46067498618,86.5,NA,1,5.993,0.232,0.24,0,1,0.3029,3,1,46.8426322937012,0,111240,1,101577,11.5285724105464,20277,9.91729183351253,68100,11.1287471763176,3270,8.09285102753838,15040,9.61853508465521,3761.35,8.23279904115278,0.642969724207341,157981,11.9702300516136,11.6194453083479
"55",55,89788,2004,"AK2004","cand4128","AK4170","KELLY, MICHAEL P (MIKE)",200,"AK","state:lower","AK-7",0.551363462308057,1,46.4351720620175,46.4,NA,1,9.565,0.232,0.207317073,1,1,0.3552,3,1,42.7359352111816,1,130452,0,75181,11.2276538184397,56881,10.948734225603,16000,9.68040649926887,1000,6.90875477931522,43985,10.6916266804516,14196.31,9.56080778902425,0.934749903641721,80429,11.2951300866491,11.778760621992
"56",56,49225,1996,"AK1996","cand3970","AK15051","HODGINS, MARK D",200,"AK","state:lower","AK-9",0.352153989465073,1,42.8624458312988,42.9,NA,1,5.387,0.232,0.257731959,0,1,0.3327,2,0,46.1077842712402,0,143295,0,44634,10.7062511794194,24639,10.1121264176475,6925,8.84303772496237,10000,9.21044036697652,18150,9.80648093459398,5989,8.6978466911095,0.505756243484567,88252,11.3879516374283,11.8726607213722
"57",57,123573,2008,"AK2008","cand4120","AK4162","KAWASAKI, SCOTT",100,"AK","state:lower","AK-9",-1.18165148575047,1,47.7049713134766,47.7,1,0,6.318,0.232,0.256097561,1,1,0.3789,2,1,55.2692718505859,0,151363,0,70961,11.1698857093306,42611,10.6598911827311,21750,9.98741501247141,500,6.21660610108486,194385,12.1776011519543,243493,12.4028475805441,0.564463782872234,125714,11.7417647646692,11.9274362043853
"58",58,77244,2002,"AL2002","cand4972","AL3192","BALL, MIKE",200,"AL","state:lower","AL-10",0.614080420859794,1,33.4715362419144,33.5,NA,1,12.976,0.067,0.121693122,0,1,0.4159,2,1,40.3580207824707,1,61740,0,63532,11.059298994955,9475,9.15651756527868,49470,10.8091419182887,50,3.93182563272433,6125,8.72029728739272,2075,7.63819824428578,1,63532,11.059298994955,11.0306872980562
"59",59,55423,1998,"AL1998","cand34828","AL1213","DIAL, GERALD",100,"AL","state:upper","AL-13",0.460936997476871,1,31.4257723126559,31.4,NA,0,33.673,0.067,0.092307692,1,0,0.4316,2,1,NA,NA,NA,0,245860,12.4125175472213,7800,8.96200720958831,234800,12.3664936258708,2500,7.82444593087762,7675,8.94585385712759,125,4.83628190695148,1,245860,12.4125175472213,NA
"60",60,102898,2006,"AL2006","cand5051","AL8295","CURTIS, MIKE",100,"AL","state:lower","AL-2",0.223338343231178,1,34.8168207238457,34.8,NA,0,11.819,0.067,0.171428571,1,1,0.3684,2,0,46.3521385192871,1,99738,0,146150,11.8923887705394,23350,10.0583950887325,115400,11.6561682985299,3900,8.26898820950666,15350,9.6389358974732,4725,8.46083445774685,0.366437669240798,398840,12.8963156129427,11.5103020267635
"61",61,102861,2006,"AL2006","cand5033","AL4208","COLEMAN, LINDA",100,"AL","state:upper","AL-20",0.279685401390778,0,79.6477432250977,79.6,NA,0,27.196,0.067,0.111111111,1,0,0.3684,2,1,98.6661605834961,1,130173,0,111400,11.6208826064753,1400,7.24494154633701,109000,11.5991123354811,0,0,700,6.55250788703459,700,6.55250788703459,1,111400,11.6208826064753,11.7766196139799
"62",62,77281,2002,"AL2002","cand5009","AL4182","ROSS, QUINTON T",100,"AL","state:upper","AL-26",0.21905316629168,1,27.8685025897143,27.9,NA,0,32.704,0.067,0.1,0,0,0.4159,2,1,80.2359237670898,0,147722,0,315815,12.6629118780924,22476,10.0202478431448,277830,12.5347682941493,9000,9.10509096125709,20400,9.92333919823873,1326,7.19067603433221,1,315815,12.6629118780924,11.9030874080029
"63",63,77149,2002,"AL2002","cand4303","AL1269","PAGE III, JOHN G (JACK)",100,"AL","state:lower","AL-29",0.306597851620421,1,34.6671359748106,34.7,NA,0,11.536,0.067,0.121693122,0,1,0.4159,2,1,55.3738746643066,0,85908,0,185108,12.1286947175088,37975,10.5447096602312,128978,11.7674048793943,260,5.56452040732269,7025,8.85737283282577,30850,10.336924443719,0.717094864722472,258136,12.4612418568015,11.3610322351842
